no,trip_start,trip_end,harsh_accl_ctr,harsh_accl_sec,harsh_sev_accl_sec,harsh_brake_ctr,harsh_brake_sec,harsh_sev_brake_sec,harsh_speeding_sec,harsh_speeding_cnt,begin_odo,end_odo,sidle_sec,eidle_sec,rdrive_sec,latched_sec,unlatched_sec,dscore,soffset,eoffset,alt_id
0,1/17/2020 19:43,1/17/2020 19:49,0,0,0,0,0,0,0,0,20558.531,20560.078,-1,-1,0,186,0,89,-4,-4,WQWRMGR4VXYZYVPF7
1,1/17/2020 17:19,1/17/2020 17:28,0,0,0,0,0,0,0,0,20510.938,20518.125,-1,-1,0,533,3,89,-4,-4,WQWRMGR4VXYZYVPF7
2,1/17/2020 20:50,1/17/2020 21:25,0,0,0,0,0,0,0,0,20561.594,20593.953,-1,-1,0,1975,38,89,-4,-4,WQWRMGR4VXYZYVPF7
3,1/17/2020 19:17,1/17/2020 19:42,0,0,0,1,1,0,0,0,20532.938,20558.531,-1,-1,0,1477,0,80,-4,-4,WQWRMGR4VXYZYVPF7
4,1/17/2020 11:35,1/17/2020 12:02,0,0,0,0,0,0,0,0,20496.422,20510.938,-1,-1,0,1564,84,94,-4,-4,WQWRMGR4VXYZYVPF7
5,1/17/2020 17:41,1/17/2020 18:05,0,0,0,0,0,0,0,0,20518.313,20525.875,-1,-1,0,498,820,89,-4,-4,WQWRMGR4VXYZYVPF7
6,1/17/2020 20:31,1/17/2020 20:43,0,0,0,0,0,0,0,0,20560.078,20561.594,-1,-1,0,215,20,89,-4,-4,WQWRMGR4VXYZYVPF7
7,1/17/2020 19:07,1/17/2020 19:15,1,1,0,0,0,0,0,0,20525.875,20532.938,-1,-1,0,470,0,89,-4,-4,WQWRMGR4VXYZYVPF7
8,1/17/2020 19:45,1/17/2020 19:49,0,0,0,0,0,0,0,0,15326.188,15327.297,6585,-1,0,236,5,89,-6,-6,XVQ8SMVUIWIVHP7P5
9,1/17/2020 18:34,1/17/2020 18:58,4,7,0,1,1,0,267,10,15297.391,15326.188,6585,-1,0,1457,0,80,-6,-6,XVQ8SMVUIWIVHP7P5
10,1/17/2020 20:41,1/17/2020 20:51,1,2,0,0,0,0,0,0,15352.891,15355.484,6585,-1,0,554,59,89,-6,-6,XVQ8SMVUIWIVHP7P5
11,1/17/2020 21:22,1/17/2020 21:29,0,0,0,0,0,0,0,0,15355.484,15358.703,6585,-1,0,395,53,89,-6,-6,XVQ8SMVUIWIVHP7P5
12,1/17/2020 19:53,1/17/2020 20:11,0,0,0,0,0,0,82,5,15327.297,15352.891,6585,-1,0,1055,7,89,-6,-6,XVQ8SMVUIWIVHP7P5
13,1/17/2020 19:44,1/17/2020 19:50,0,0,0,0,0,0,0,0,48007.859,48009.375,4897,4897,0,0,32,89,-7,-7,E0QJ5S1CGYWB0KEJQ
14,1/18/2020 1:02,1/18/2020 1:22,0,0,0,0,0,0,0,0,48009.375,48027.203,4897,4897,0,0,26,89,-7,-7,E0QJ5S1CGYWB0KEJQ
15,1/17/2020 15:47,1/17/2020 16:15,1,1,0,0,0,0,0,0,47978.766,48006.516,4897,4897,0,1597,19,94,-7,-7,E0QJ5S1CGYWB0KEJQ
16,1/18/2020 2:15,1/18/2020 2:25,0,0,0,0,0,0,0,0,48027.203,48033.328,4897,4897,0,609,6,89,-7,-7,E0QJ5S1CGYWB0KEJQ
17,1/17/2020 19:28,1/17/2020 19:32,0,0,0,0,0,0,0,0,48006.516,48007.859,4897,4897,0,0,17,89,-7,-7,E0QJ5S1CGYWB0KEJQ
18,1/17/2020 15:41,1/17/2020 15:52,0,0,0,0,0,0,0,0,42742.281,42751.844,-1,-1,0,605,0,94,-7,-7,6OMTRN4EE31LYINDT
19,1/17/2020 23:01,1/17/2020 23:06,1,1,0,0,0,0,0,0,42795.063,42796.188,-1,-1,0,287,0,89,-7,-7,6OMTRN4EE31LYINDT
20,1/17/2020 21:30,1/17/2020 21:37,1,4,0,0,0,0,0,0,42766.063,42770.313,-1,-1,0,410,0,89,-7,-7,6OMTRN4EE31LYINDT
21,1/17/2020 22:43,1/17/2020 22:59,1,1,0,0,0,0,0,0,42780.938,42795.063,-1,-1,0,946,0,89,-7,-7,6OMTRN4EE31LYINDT
22,1/17/2020 22:30,1/17/2020 22:41,4,4,0,1,2,0,0,0,42770.313,42780.938,-1,-1,0,637,1,71,-7,-7,6OMTRN4EE31LYINDT
23,1/17/2020 21:08,1/17/2020 21:18,1,1,0,0,0,0,0,0,42759.25,42766.063,-1,-1,0,607,0,89,-7,-7,6OMTRN4EE31LYINDT
24,1/17/2020 20:54,1/17/2020 21:00,0,0,0,0,0,0,0,0,42751.844,42759.25,-1,-1,0,371,0,89,-7,-7,6OMTRN4EE31LYINDT
25,1/17/2020 15:28,1/17/2020 15:35,0,0,0,0,0,0,0,0,42734.859,42742.266,-1,-1,0,442,0,94,-7,-7,6OMTRN4EE31LYINDT
26,1/17/2020 23:13,1/17/2020 23:20,2,3,3,0,0,0,0,0,42796.188,42800.438,-1,-1,0,384,1,89,-7,-7,6OMTRN4EE31LYINDT
27,1/17/2020 21:09,1/17/2020 21:23,3,3,0,0,0,0,0,0,69563.875,69574.75,-1,-1,0,886,3,89,-7,-7,DP9RMWY0BSB7Z62ET
28,1/17/2020 17:57,1/17/2020 18:04,1,1,0,0,0,0,0,0,69547.094,69550,-1,-1,0,407,0,94,-7,-7,DP9RMWY0BSB7Z62ET
29,1/17/2020 18:06,1/17/2020 18:14,0,0,0,0,0,0,0,0,69550,69552.859,-1,-1,0,423,2,94,-7,-7,DP9RMWY0BSB7Z62ET
30,1/17/2020 21:03,1/17/2020 21:21,0,0,0,0,0,0,0,0,82826.922,82829.281,26637,26637,0,0,14,89,-4,-4,RGR5MSOM1ACI1ENRV
31,1/17/2020 19:28,1/17/2020 19:38,0,0,0,0,0,0,0,0,82824.766,82826.922,26637,26637,0,527,77,89,-4,-4,RGR5MSOM1ACI1ENRV
32,1/17/2020 21:05,1/17/2020 21:23,5,9,0,0,0,0,0,0,15037.375,15050.781,-1,-1,0,1059,12,89,-7,-7,7UJARNUEKHFJTLS0X
33,1/17/2020 20:07,1/17/2020 20:34,8,16,1,3,4,1,36,1,14993.016,15031.641,-1,-1,0,1551,57,38,-7,-7,7UJARNUEKHFJTLS0X
34,1/17/2020 21:34,1/17/2020 21:40,4,8,1,2,3,1,0,0,15050.781,15053.281,-1,-1,0,339,21,-170,-7,-7,7UJARNUEKHFJTLS0X
35,1/17/2020 23:35,1/17/2020 23:50,6,14,0,4,6,1,0,0,15086.313,15097.422,-1,-1,0,799,64,-17,-7,-7,7UJARNUEKHFJTLS0X
36,1/17/2020 20:47,1/17/2020 20:54,1,1,0,2,3,1,9,1,15031.641,15037.375,-1,-1,0,348,59,-39,-7,-7,7UJARNUEKHFJTLS0X
37,1/17/2020 23:03,1/17/2020 23:21,1,1,0,0,0,0,17,1,15065.578,15086.313,-1,-1,0,984,52,89,-7,-7,7UJARNUEKHFJTLS0X
38,1/17/2020 21:55,1/17/2020 21:57,1,1,0,0,0,0,0,0,15053.281,15054.141,-1,-1,0,151,10,89,-7,-7,7UJARNUEKHFJTLS0X
39,1/17/2020 22:31,1/17/2020 22:41,2,4,0,1,2,2,0,0,15062.141,15065.578,-1,-1,0,550,28,-267,-7,-7,7UJARNUEKHFJTLS0X
40,1/17/2020 22:06,1/17/2020 22:22,4,7,3,4,9,3,0,0,15054.141,15062.141,-1,-1,0,892,87,-210,-7,-7,7UJARNUEKHFJTLS0X
41,1/17/2020 23:33,1/17/2020 23:42,0,0,0,0,0,0,0,0,4515.813,4521.234,-1,-1,0,590,2,89,-5,-5,BCTTN7Y2DJ1ALYTEY
42,1/17/2020 22:09,1/17/2020 22:19,0,0,0,0,0,0,0,0,4510.313,4515.813,-1,-1,0,537,54,89,-5,-5,BCTTN7Y2DJ1ALYTEY
43,1/17/2020 12:29,1/17/2020 12:43,0,0,0,0,0,0,0,0,4488.969,4499.266,-1,-1,0,714,127,94,-5,-5,BCTTN7Y2DJ1ALYTEY
44,1/17/2020 19:36,1/17/2020 19:52,0,0,0,0,0,0,0,0,4499.266,4510.313,-1,-1,0,725,217,89,-5,-5,BCTTN7Y2DJ1ALYTEY
45,1/17/2020 23:26,1/17/2020 23:37,7,10,0,2,3,2,0,0,64574.125,64580.375,9102,9102,0,0,43,-124,-7,-7,ZHOLYKYG6JHS64NJE
46,1/17/2020 3:05,1/17/2020 3:21,0,0,0,1,1,0,2,1,64553.766,64574.125,9102,9102,0,0,0,91,-7,-7,ZHOLYKYG6JHS64NJE
47,1/18/2020 1:01,1/18/2020 1:33,3,5,0,0,0,0,0,0,64580.375,64586.75,9102,9102,0,1707,97,89,-7,-7,ZHOLYKYG6JHS64NJE
48,1/17/2020 23:34,1/17/2020 23:39,0,0,0,0,0,0,0,0,68821.172,68824.438,84286,84286,0,0,0,89,-4,-4,DKHUMAMXRE5TS1C0K
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
